,valor
1993-12-01,100.353370674823
1994-01-01,100.598880859602
1994-02-01,100.798976801278
1994-03-01,100.947873074316
1994-04-01,101.041947999021
1994-05-01,101.083840257566
1994-06-01,101.079602193472
1994-07-01,101.043702829221
1994-08-01,100.991143487741
1994-09-01,100.922988875312
1994-10-01,100.831649510476
1994-11-01,100.694229231944
1994-12-01,100.499726038576
1995-01-01,100.243126681226
1995-02-01,99.9267026948102
1995-03-01,99.5815717005375
1995-04-01,99.260520601153
1995-05-01,99.0068842861055
1995-06-01,98.8378680359473
1995-07-01,98.740346951085
1995-08-01,98.6797909917639
1995-09-01,98.6275657297169
1995-10-01,98.5836386691464
1995-11-01,98.5627730239991
1995-12-01,98.5798055861368
1996-01-01,98.6465513947453
1996-02-01,98.7707969809267
1996-03-01,98.9397676809807
1996-04-01,99.1179851658835
1996-05-01,99.2843828757251
1996-06-01,99.4191027100415
1996-07-01,99.5130003024171
1996-08-01,99.5872603514613
1996-09-01,99.6579981102486
1996-10-01,99.730252861937
1996-11-01,99.8123302809101
1996-12-01,99.9004782449621
1997-01-01,100.003824622542
1997-02-01,100.13065411906
1997-03-01,100.267498777259
1997-04-01,100.40967144814
1997-05-01,100.552140790069
1997-06-01,100.688899932426
1997-07-01,100.808678205721
1997-08-01,100.894758894584
1997-09-01,100.952194158547
1997-10-01,100.982325231453
1997-11-01,100.979694683978
1997-12-01,100.943389969654
1998-01-01,100.89139611744
1998-02-01,100.824011100624
1998-03-01,100.722948173557
1998-04-01,100.585012105206
1998-05-01,100.411424850068
1998-06-01,100.213788002619
1998-07-01,100.023117304039
1998-08-01,99.8636232031105
1998-09-01,99.767616693711
1998-10-01,99.7695531913239
1998-11-01,99.8725973636424
1998-12-01,100.040106748225
1999-01-01,100.246779068837
1999-02-01,100.45714147829
1999-03-01,100.646555866404
1999-04-01,100.81245153253
1999-05-01,100.954551509625
1999-06-01,101.062501860209
1999-07-01,101.139738205252
1999-08-01,101.195763297092
1999-09-01,101.244821035161
1999-10-01,101.295177047878
1999-11-01,101.347334919276
1999-12-01,101.383247695062
2000-01-01,101.37661213986
2000-02-01,101.311278045054
2000-03-01,101.215058993632
2000-04-01,101.096827794361
2000-05-01,100.951059231199
2000-06-01,100.786750744403
2000-07-01,100.604395753941
2000-08-01,100.389779309327
2000-09-01,100.13980378313
2000-10-01,99.8378829619064
2000-11-01,99.494307157029
2000-12-01,99.1243889942694
2001-01-01,98.7869276461398
2001-02-01,98.5281583106151
2001-03-01,98.3607815467806
2001-04-01,98.2765048754123
2001-05-01,98.249996778669
2001-06-01,98.2265930947976
2001-07-01,98.181842473269
2001-08-01,98.1188305809669
2001-09-01,98.0779133950229
2001-10-01,98.1286760981215
2001-11-01,98.2969127620361
2001-12-01,98.5615409812495
2002-01-01,98.8681079709583
2002-02-01,99.1587444396766
2002-03-01,99.3771109937287
2002-04-01,99.4675698691082
2002-05-01,99.4105072813713
2002-06-01,99.2146404077922
2002-07-01,98.932632834521
2002-08-01,98.6314383550316
2002-09-01,98.3518229534273
2002-10-01,98.1316031013597
2002-11-01,97.9858335511032
2002-12-01,97.8878096220507
2003-01-01,97.8162450855914
2003-02-01,97.781766652281
2003-03-01,97.8167098961107
2003-04-01,97.9485303925046
2003-05-01,98.1716017965278
2003-06-01,98.4592562532667
2003-07-01,98.7968928013081
2003-08-01,99.1732588330812
2003-09-01,99.5762766123968
2003-10-01,99.984217261721
2003-11-01,100.363804930177
2003-12-01,100.681850288788
2004-01-01,100.92132181077
2004-02-01,101.065103595582
2004-03-01,101.131994221334
2004-04-01,101.134075290173
2004-05-01,101.091249831539
2004-06-01,101.013145578922
2004-07-01,100.906203941832
2004-08-01,100.78716081896
2004-09-01,100.683261123798
2004-10-01,100.613094508729
2004-11-01,100.585278158166
2004-12-01,100.573051525755
2005-01-01,100.540625478654
2005-02-01,100.481544112536
2005-03-01,100.407228828078
2005-04-01,100.353869524061
2005-05-01,100.346897729201
2005-06-01,100.383342402674
2005-07-01,100.436869582522
2005-08-01,100.508345857345
2005-09-01,100.613397962025
2005-10-01,100.764041067677
2005-11-01,100.945946571069
2005-12-01,101.119768434879
2006-01-01,101.254961161865
2006-02-01,101.342008190638
2006-03-01,101.374786487823
2006-04-01,101.349063051876
2006-05-01,101.287484653335
2006-06-01,101.226168741543
2006-07-01,101.186610770571
2006-08-01,101.190844089842
2006-09-01,101.250920403938
2006-10-01,101.34534414878
2006-11-01,101.459848333664
2006-12-01,101.583748981393
2007-01-01,101.704508024306
2007-02-01,101.822783933034
2007-03-01,101.9450717622
2007-04-01,102.061174490443
2007-05-01,102.149331444209
2007-06-01,102.195261575828
2007-07-01,102.182716457847
2007-08-01,102.108755066154
2007-09-01,102.001091301295
2007-10-01,101.880415446131
2007-11-01,101.751827881044
2007-12-01,101.627109299137
2008-01-01,101.496157172897
2008-02-01,101.346684745068
2008-03-01,101.180556716904
2008-04-01,100.973440258389
2008-05-01,100.692473323782
2008-06-01,100.299985777397
2008-07-01,99.7640664076525
2008-08-01,99.0678497140781
2008-09-01,98.2246104089522
2008-10-01,97.2969487422238
2008-11-01,96.4083527689526
2008-12-01,95.6603357022064
2009-01-01,95.1173509822532
2009-02-01,94.8171679744744
2009-03-01,94.7774893969237
2009-04-01,94.9878609717969
2009-05-01,95.3793224053889
2009-06-01,95.880548482598
2009-07-01,96.4288050512083
2009-08-01,96.9827773162366
2009-09-01,97.5112625466338
2009-10-01,97.9961846669007
2009-11-01,98.4397424431922
2009-12-01,98.8469799219132
2010-01-01,99.1984507084755
2010-02-01,99.4592610880402
2010-03-01,99.6332388197694
2010-04-01,99.7036737935323
2010-05-01,99.681123098113
2010-06-01,99.6057008716809
2010-07-01,99.5423295150409
2010-08-01,99.540992561738
2010-09-01,99.6130644785941
2010-10-01,99.7446301641231
2010-11-01,99.9237014461499
2010-12-01,100.112990860577
2011-01-01,100.272830363534
2011-02-01,100.368165421874
2011-03-01,100.363373727185
2011-04-01,100.255403805878
2011-05-01,100.055831824505
2011-06-01,99.7876169397485
2011-07-01,99.5015380993247
2011-08-01,99.2632577467115
2011-09-01,99.1395043090022
2011-10-01,99.1601467382363
2011-11-01,99.3053401593235
2011-12-01,99.5232738607052
2012-01-01,99.7407866449822
2012-02-01,99.8930359559218
2012-03-01,99.9528550024023
2012-04-01,99.9244984530647
2012-05-01,99.83171369339
2012-06-01,99.7151711850386
2012-07-01,99.6253336358878
2012-08-01,99.588973782395
2012-09-01,99.6205865584715
2012-10-01,99.6946066697785
2012-11-01,99.7931187898129
2012-12-01,99.9175835813535
2013-01-01,100.061528766487
2013-02-01,100.208678897084
2013-03-01,100.332757039888
2013-04-01,100.448200260183
2013-05-01,100.562192937061
2013-06-01,100.65163026023
2013-07-01,100.705169424342
2013-08-01,100.735303361747
2013-09-01,100.74791918956
2013-10-01,100.75284788428
2013-11-01,100.758350526574
2013-12-01,100.752038961208
2014-01-01,100.739446711337
2014-02-01,100.755513097822
2014-03-01,100.801330246037
2014-04-01,100.858076512424
2014-05-01,100.907571242238
2014-06-01,100.942798042103
2014-07-01,100.959518904468
2014-08-01,100.960272476508
2014-09-01,100.947332860491
2014-10-01,100.91619906478
2014-11-01,100.865769343408
2014-12-01,100.7905908558
2015-01-01,100.693919503806
2015-02-01,100.585079164545
2015-03-01,100.478144431773
2015-04-01,100.373650321312
2015-05-01,100.263249995099
2015-06-01,100.140901060428
2015-07-01,99.9847966988649
2015-08-01,99.805189489087
2015-09-01,99.6310793380318
2015-10-01,99.4869858278114
2015-11-01,99.3650333194454
2015-12-01,99.2588265348053
2016-01-01,99.1732408279694
2016-02-01,99.1155467576633
2016-03-01,99.0966011487786
2016-04-01,99.0975082704133
2016-05-01,99.1023428615992
2016-06-01,99.104507153885
2016-07-01,99.1226013205027
2016-08-01,99.1688282381051
2016-09-01,99.2576869012123
2016-10-01,99.3840269610156
2016-11-01,99.5318414007369
2016-12-01,99.6802627438619
2017-01-01,99.7989945707686
2017-02-01,99.8763282638958
2017-03-01,99.9132075248585
2017-04-01,99.9250759243183
2017-05-01,99.9324597678252
2017-06-01,99.9504934513815
2017-07-01,99.9851527295248
2017-08-01,100.061911553816
2017-09-01,100.172854217107
2017-10-01,100.305414447973
2017-11-01,100.441698951588
2017-12-01,100.577156744372
2018-01-01,100.711382732978
2018-02-01,100.833324925147
2018-03-01,100.910763169256
2018-04-01,100.936722919493
2018-05-01,100.920308484449
2018-06-01,100.872787342546
2018-07-01,100.797185023634
2018-08-01,100.696415622833
2018-09-01,100.555726407716
2018-10-01,100.37046084799
2018-11-01,100.157986623
2018-12-01,99.9408703540678
2019-01-01,99.7407963946851
2019-02-01,99.5751443982911
2019-03-01,99.4425896856438
2019-04-01,99.3207225202924
2019-05-01,99.2067966906366
2019-06-01,99.1037770648909
2019-07-01,99.0192947277061
2019-08-01,98.9648124653308
2019-09-01,98.9668719934801
2019-10-01,99.0205558082118
2019-11-01,99.1028658408347
2019-12-01,99.1810115784093
2020-01-01,99.2158367120647
2020-02-01,99.1777934414788
2020-03-01,97.7654940253142
2020-04-01,92.8891951917096
2020-05-01,94.4251866122641
2020-06-01,96.2863628486504
2020-07-01,97.8466842641644
2020-08-01,98.5608383824433
2020-09-01,98.8617969307855
2020-10-01,99.2303240815033
2020-11-01,99.6299765270447
2020-12-01,100.045536859184
2021-01-01,100.411484395331
2021-02-01,100.764806161909
2021-03-01,101.075627198417
2021-04-01,101.312722433074
2021-05-01,101.373007890961
2021-06-01,101.368050207004
2021-07-01,101.313656114132
2021-08-01,101.244228324322
2021-09-01,101.192364942479
2021-10-01,101.163229217791
2021-11-01,101.140553477691
2021-12-01,101.094743598121
2022-01-01,101.000830176233
2022-02-01,100.852117740568
2022-03-01,100.639512697424
2022-04-01,100.366375880603
2022-05-01,100.042358753284
2022-06-01,99.7166830269287
2022-07-01,99.4390291429295
2022-08-01,99.2240242804091
2022-09-01,99.0559871061681
2022-10-01,98.9218054057219
2022-11-01,98.8141322493881
2022-12-01,98.7366477479945
2023-01-01,98.6808051070632
2023-02-01,98.6259554787165
2023-03-01,98.5834594223704
2023-04-01,98.5772360230118
2023-05-01,98.6131499738861
2023-06-01,98.6885830909814
2023-07-01,98.7703659046336
2023-08-01,98.8328073186584
2023-09-01,98.8720255702154
2023-10-01,98.9017734157747
2023-11-01,98.9534296213855
2023-12-01,99.043151328778
2024-01-01,99.157865477239
2024-02-01,99.2732249957361
2024-03-01,99.3646136536506
2024-04-01,99.4100600391279
2024-05-01,99.4173786027929
2024-06-01,99.4164700429918
2024-07-01,99.4413170284615
2024-08-01,99.5079899618303
2024-09-01,99.616608284512
2024-10-01,99.7428892083547
2024-11-01,99.861003354332
2024-12-01,99.9368279326479
2025-01-01,99.9471430257738
2025-02-01,99.8979127205902
2025-03-01,99.8137996285456
2025-04-01,99.7385615993988
2025-05-01,99.7216660995582
2025-06-01,99.757420228239
2025-07-01,99.8162970724587
2025-08-01,99.887252597504
2025-09-01,99.9782720155731
2025-10-01,100.097844528049
2025-11-01,100.25297916838
2025-12-01,100.43345601394
2026-01-01,100.618964678604
2026-02-01,100.773584150807
2026-03-01,100.889483786715
